id,DexNo,Pokemon,Form,Type 1,Type 2,Boxable,Bankable
455,305,LAIRON,,Steel,Rock,TRUE,TRUE
456,306,AGGRON,,Steel,Rock,TRUE,TRUE
457,306,AGGRON,MEGA,Steel,Rock,TRUE,FALSE
458,307,MEDITITE,FEMALE,Fighting,Psychic,TRUE,TRUE
459,307,MEDITITE,MALE,Fighting,Psychic,TRUE,TRUE
460,308,MEDICHAM,FEMALE,Fighting,Psychic,TRUE,TRUE
461,308,MEDICHAM,MALE,Fighting,Psychic,TRUE,TRUE
462,308,MEDICHAM,MEGA,Fighting,Psychic,TRUE,FALSE
463,309,ELECTRIKE,,Electric,,TRUE,TRUE
464,310,MANECTRIC,,Electric,,TRUE,TRUE
465,310,MANECTRIC,MEGA,Electric,,TRUE,FALSE
466,311,PLUSLE,,Electric,,TRUE,TRUE
467,312,MINUN,,Electric,,TRUE,TRUE
468,313,VOLBEAT,,Bug,,TRUE,TRUE
469,314,ILLUMISE,,Bug,,TRUE,TRUE
470,315,ROSELIA,FEMALE,Grass,Poison,TRUE,TRUE
471,315,ROSELIA,MALE,Grass,Poison,TRUE,TRUE
472,316,GULPIN,FEMALE,Poison,,TRUE,TRUE
473,316,GULPIN,MALE,Poison,,TRUE,TRUE
474,317,SWALOT,FEMALE,Poison,,TRUE,TRUE
475,317,SWALOT,MALE,Poison,,TRUE,TRUE
476,318,CARVANHA,,Water,Dark,TRUE,TRUE
477,319,SHARPEDO,,Water,Dark,TRUE,TRUE
478,319,SHARPEDO,MEGA,Water,Dark,TRUE,FALSE
479,320,WAILMER,,Water,,TRUE,TRUE
480,321,WAILORD,,Water,,TRUE,TRUE
481,322,NUMEL,FEMALE,Fire,Ground,TRUE,TRUE
482,322,NUMEL,MALE,Fire,Ground,TRUE,TRUE
483,323,CAMERUPT,FEMALE,Fire,Ground,TRUE,TRUE
484,323,CAMERUPT,MALE,Fire,Ground,TRUE,TRUE
485,323,CAMERUPT,MEGA,Fire,Ground,TRUE,FALSE
486,324,TORKOAL,,Fire,,TRUE,TRUE
487,325,SPOINK,,Psychic,,TRUE,TRUE
488,326,GRUMPIG,,Psychic,,TRUE,TRUE
489,327,SPINDA,,Normal,,TRUE,TRUE
490,328,TRAPINCH,,Ground,,TRUE,TRUE
491,329,VIBRAVA,,Ground,Dragon,TRUE,TRUE
492,330,FLYGON,,Ground,Dragon,TRUE,TRUE
493,331,CACNEA,,Grass,,TRUE,TRUE
494,332,CACTURNE,FEMALE,Grass,Dark,TRUE,TRUE
495,332,CACTURNE,MALE,Grass,Dark,TRUE,TRUE
496,333,SWABLU,,Normal,Flying,TRUE,TRUE
497,334,ALTARIA,,Dragon,Flying,TRUE,TRUE
498,334,ALTARIA,MEGA,Dragon,Fairy,TRUE,FALSE
499,335,ZANGOOSE,,Normal,,TRUE,TRUE
500,336,SEVIPER,,Poison,,TRUE,TRUE
501,337,LUNATONE,,Rock,Psychic,TRUE,TRUE
502,338,SOLROCK,,Rock,Psychic,TRUE,TRUE
503,339,BARBOACH,,Water,Ground,TRUE,TRUE
504,340,WHISCASH,,Water,Ground,TRUE,TRUE
505,341,CORPHISH,,Water,,TRUE,TRUE
506,342,CRAWDAUNT,,Water,Dark,TRUE,TRUE
507,343,BALTOY,,Ground,Psychic,TRUE,TRUE
508,344,CLAYDOL,,Ground,Psychic,TRUE,TRUE
509,345,LILEEP,,Rock,Grass,TRUE,TRUE
510,346,CRADILY,,Rock,Grass,TRUE,TRUE
511,347,ANORITH,,Rock,Bug,TRUE,TRUE
512,348,ARMALDO,,Rock,Bug,TRUE,TRUE
513,349,FEEBAS,,Water,,TRUE,TRUE
514,350,MILOTIC,FEMALE,Water,,TRUE,TRUE
515,350,MILOTIC,MALE,Water,,TRUE,TRUE
516,351,CASTFORM,,Normal,,TRUE,TRUE
517,352,KECLEON,,Normal,,TRUE,TRUE
518,353,SHUPPET,,Ghost,,TRUE,TRUE
519,354,BANETTE,,Ghost,,TRUE,TRUE
520,354,BANETTE,MEGA,Ghost,,TRUE,FALSE
521,355,DUSKULL,,Ghost,,TRUE,TRUE
522,356,DUSCLOPS,,Ghost,,TRUE,TRUE
523,357,TROPIUS,,Grass,Flying,TRUE,TRUE
524,358,CHIMECHO,,Psychic,,TRUE,TRUE
525,359,ABSOL,,Dark,,TRUE,TRUE
526,359,ABSOL,MEGA,Dark,,TRUE,FALSE
527,360,WYNAUT,,Psychic,,TRUE,TRUE
528,361,SNORUNT,,Ice,,TRUE,TRUE
529,362,GLALIE,,Ice,,TRUE,TRUE
530,362,GLALIE,MEGA,Ice,,TRUE,FALSE
531,363,SPHEAL,,Ice,Water,TRUE,TRUE
532,364,SEALEO,,Ice,Water,TRUE,TRUE
533,365,WALREIN,,Ice,Water,TRUE,TRUE
534,366,CLAMPERL,,Water,,TRUE,TRUE
535,367,HUNTAIL,,Water,,TRUE,TRUE
536,368,GOREBYSS,,Water,,TRUE,TRUE
537,369,RELICANTH,FEMALE,Water,Rock,TRUE,TRUE
538,369,RELICANTH,MALE,Water,Rock,TRUE,TRUE
539,370,LUVDISC,,Water,,TRUE,TRUE
540,371,BAGON,,Dragon,,TRUE,TRUE
541,372,SHELGON,,Dragon,,TRUE,TRUE
542,373,SALAMENCE,,Dragon,Flying,TRUE,TRUE
543,373,SALAMENCE,MEGA,Dragon,Flying,TRUE,FALSE
544,374,BELDUM,,Steel,Psychic,TRUE,TRUE
545,375,METANG,,Steel,Psychic,TRUE,TRUE
546,376,METAGROSS,,Steel,Psychic,TRUE,TRUE
547,376,METAGROSS,MEGA,Steel,Psychic,TRUE,FALSE
548,377,REGIROCK,,Rock,,TRUE,TRUE
549,378,REGICE,,Ice,,TRUE,TRUE
550,379,REGISTEEL,,Steel,,TRUE,TRUE
551,380,LATIAS,,Dragon,Psychic,TRUE,TRUE
552,380,LATIAS,MEGA,Dragon,Psychic,TRUE,FALSE
553,381,LATIOS,,Dragon,Psychic,TRUE,TRUE
554,381,LATIOS,MEGA,Dragon,Psychic,TRUE,FALSE
555,382,KYOGRE,,Water,,TRUE,TRUE
556,382,KYOGRE,PRIMAL,Water,,TRUE,FALSE
557,383,GROUDON,,Ground,,TRUE,TRUE
558,383,GROUDON,PRIMAL,Ground,,TRUE,FALSE
559,384,RAYQUAZA,,Dragon,Flying,TRUE,TRUE
560,384,RAYQUAZA,MEGA,Dragon,Flying,TRUE,FALSE
561,385,JIRACHI,,Steel,Psychic,TRUE,TRUE
562,386,DEOXYS,,Psychic,,TRUE,TRUE
563,386,DEOXYS,ATTACK,Psychic,,TRUE,TRUE
564,386,DEOXYS,DEFENSE,Psychic,,TRUE,TRUE
565,386,DEOXYS,SPEED,Psychic,,TRUE,TRUE
566,387,TURTWIG,,Grass,,TRUE,TRUE
567,388,GROTLE,,Grass,,TRUE,TRUE
568,389,TORTERRA,,Grass,Ground,TRUE,TRUE
569,390,CHIMCHAR,,Fire,,TRUE,TRUE
570,391,MONFERNO,,Fire,Fighting,TRUE,TRUE
571,392,INFERNAPE,,Fire,Fighting,TRUE,TRUE
572,393,PIPLUP,,Water,,TRUE,TRUE
573,394,PRINPLUP,,Water,,TRUE,TRUE
574,395,EMPOLEON,,Water,Steel,TRUE,TRUE
575,396,STARLY,FEMALE,Normal,Flying,TRUE,TRUE
576,396,STARLY,MALE,Normal,Flying,TRUE,TRUE
577,397,STARAVIA,FEMALE,Normal,Flying,TRUE,TRUE
578,397,STARAVIA,MALE,Normal,Flying,TRUE,TRUE
579,398,STARAPTOR,FEMALE,Normal,Flying,TRUE,TRUE
580,398,STARAPTOR,MALE,Normal,Flying,TRUE,TRUE
581,399,BIDOOF,FEMALE,Normal,,TRUE,TRUE
582,399,BIDOOF,MALE,Normal,,TRUE,TRUE
583,400,BIBAREL,FEMALE,Normal,Water,TRUE,TRUE
584,400,BIBAREL,MALE,Normal,Water,TRUE,TRUE
585,401,KRICKETOT,FEMALE,Bug,,TRUE,TRUE
586,401,KRICKETOT,MALE,Bug,,TRUE,TRUE
587,402,KRICKETUNE,FEMALE,Bug,,TRUE,TRUE
588,402,KRICKETUNE,MALE,Bug,,TRUE,TRUE
589,403,SHINX,FEMALE,Electric,,TRUE,TRUE
590,403,SHINX,MALE,Electric,,TRUE,TRUE
591,404,LUXIO,FEMALE,Electric,,TRUE,TRUE
592,404,LUXIO,MALE,Electric,,TRUE,TRUE
593,405,LUXRAY,FEMALE,Electric,,TRUE,TRUE
594,405,LUXRAY,MALE,Electric,,TRUE,TRUE
595,406,BUDEW,,Grass,Poison,TRUE,TRUE
596,407,ROSERADE,FEMALE,Grass,Poison,TRUE,TRUE
597,407,ROSERADE,MALE,Grass,Poison,TRUE,TRUE
598,408,CRANIDOS,,Rock,,TRUE,TRUE
599,409,RAMPARDOS,,Rock,,TRUE,TRUE
600,410,SHIELDON,,Rock,Steel,TRUE,TRUE
601,411,BASTIODON,,Rock,Steel,TRUE,TRUE
602,412,BURMY,PLANT CLOAK,Bug,,TRUE,TRUE
603,412,BURMY,SANDY CLOAK,Bug,,TRUE,TRUE
604,412,BURMY,TRASH CLOAK,Bug,,TRUE,TRUE
605,413,WORMADAM,PLANT CLOAK,Bug,Grass,TRUE,TRUE
606,413,WORMADAM,SANDY CLOAK,Bug,Ground,TRUE,TRUE
607,413,WORMADAM,TRASH CLOAK,Bug,Steel,TRUE,TRUE
608,414,MOTHIM,,Bug,Flying,TRUE,TRUE
609,415,COMBEE,FEMALE,Bug,Flying,TRUE,TRUE
610,415,COMBEE,MALE,Bug,Flying,TRUE,TRUE
611,416,VESPIQUEN,,Bug,Flying,TRUE,TRUE
612,417,PACHIRISU,FEMALE,Electric,,TRUE,TRUE
613,417,PACHIRISU,MALE,Electric,,TRUE,TRUE
614,418,BUIZEL,FEMALE,Water,,TRUE,TRUE
615,418,BUIZEL,MALE,Water,,TRUE,TRUE
616,419,FLOATZEL,FEMALE,Water,,TRUE,TRUE
617,419,FLOATZEL,MALE,Water,,TRUE,TRUE
618,420,CHERUBI,,Grass,,TRUE,TRUE
619,421,CHERRIM,,Grass,,TRUE,TRUE
620,422,SHELLOS,WEST SEA,Water,,TRUE,TRUE
621,422,SHELLOS,EAST SEA,Water,,TRUE,TRUE
622,423,GASTRODON,WEST SEA,Water,Ground,TRUE,TRUE
623,423,GASTRODON,EAST SEA,Water,Ground,TRUE,TRUE
624,424,AMBIPOM,FEMALE,Normal,,TRUE,TRUE
625,424,AMBIPOM,MALE,Normal,,TRUE,TRUE
626,425,DRIFLOON,,Ghost,Flying,TRUE,TRUE
627,426,DRIFBLIM,,Ghost,Flying,TRUE,TRUE
628,427,BUNEARY,,Normal,,TRUE,TRUE
629,428,LOPUNNY,,Normal,,TRUE,TRUE
630,428,LOPUNNY,MEGA,Normal,Fighting,TRUE,FALSE
631,429,MISMAGIUS,,Ghost,,TRUE,TRUE
632,430,HONCHKROW,,Dark,Flying,TRUE,TRUE
633,431,GLAMEOW,,Normal,,TRUE,TRUE
634,432,PURUGLY,,Normal,,TRUE,TRUE
635,433,CHINGLING,,Psychic,,TRUE,TRUE
636,434,STUNKY,,Poison,Dark,TRUE,TRUE
637,435,SKUNTANK,,Poison,Dark,TRUE,TRUE
638,436,BRONZOR,,Steel,Psychic,TRUE,TRUE
639,437,BRONZONG,,Steel,Psychic,TRUE,TRUE
640,438,BONSLY,,Rock,,TRUE,TRUE
641,439,MIME JR.,,Psychic,Fairy,TRUE,TRUE
642,440,HAPPINY,,Normal,,TRUE,TRUE
643,441,CHATOT,,Normal,Flying,TRUE,TRUE
644,442,SPIRITOMB,,Ghost,Dark,TRUE,TRUE
645,443,GIBLE,FEMALE,Dragon,Ground,TRUE,TRUE
646,443,GIBLE,MALE,Dragon,Ground,TRUE,TRUE
647,444,GABITE,FEMALE,Dragon,Ground,TRUE,TRUE
648,444,GABITE,MALE,Dragon,Ground,TRUE,TRUE
649,445,GARCHOMP,FEMALE,Dragon,Ground,TRUE,TRUE
650,445,GARCHOMP,MALE,Dragon,Ground,TRUE,TRUE
651,445,GARCHOMP,MEGA,Dragon,Ground,TRUE,FALSE
652,446,MUNCHLAX,,Normal,,TRUE,TRUE
653,447,RIOLU,,Fighting,,TRUE,TRUE
654,448,LUCARIO,,Fighting,Steel,TRUE,TRUE
655,448,LUCARIO,MEGA,Fighting,Steel,TRUE,FALSE
656,449,HIPPOPOTAS,FEMALE,Ground,,TRUE,TRUE
657,449,HIPPOPOTAS,MALE,Ground,,TRUE,TRUE
658,450,HIPPOWDON,FEMALE,Ground,,TRUE,TRUE
659,450,HIPPOWDON,MALE,Ground,,TRUE,TRUE
660,451,SKORUPI,,Poison,Bug,TRUE,TRUE
661,452,DRAPION,,Poison,Dark,TRUE,TRUE
662,453,CROAGUNK,FEMALE,Poison,Fighting,TRUE,TRUE
663,453,CROAGUNK,MALE,Poison,Fighting,TRUE,TRUE
664,454,TOXICROAK,FEMALE,Poison,Fighting,TRUE,TRUE
665,454,TOXICROAK,MALE,Poison,Fighting,TRUE,TRUE
666,455,CARNIVINE,,Grass,,TRUE,TRUE
667,456,FINNEON,FEMALE,Water,,TRUE,TRUE
668,456,FINNEON,MALE,Water,,TRUE,TRUE
669,457,LUMINEON,FEMALE,Water,,TRUE,TRUE
670,457,LUMINEON,MALE,Water,,TRUE,TRUE
671,458,MANTYKE,,Water,Flying,TRUE,TRUE
672,459,SNOVER,FEMALE,Grass,Ice,TRUE,TRUE
673,459,SNOVER,MALE,Grass,Ice,TRUE,TRUE
674,460,ABOMASNOW,FEMALE,Grass,Ice,TRUE,TRUE
675,460,ABOMASNOW,MALE,Grass,Ice,TRUE,TRUE
676,460,ABOMASNOW,MEGA,Grass,Ice,TRUE,FALSE
677,461,WEAVILE,FEMALE,Dark,Ice,TRUE,TRUE
678,461,WEAVILE,MALE,Dark,Ice,TRUE,TRUE
679,462,MAGNEZONE,,Electric,Steel,TRUE,TRUE
680,463,LICKILICKY,,Normal,,TRUE,TRUE
681,464,RHYPERIOR,FEMALE,Ground,Rock,TRUE,TRUE
682,464,RHYPERIOR,MALE,Ground,Rock,TRUE,TRUE
683,465,TANGROWTH,FEMALE,Grass,,TRUE,TRUE
684,465,TANGROWTH,MALE,Grass,,TRUE,TRUE
685,466,ELECTIVIRE,,Electric,,TRUE,TRUE
686,467,MAGMORTAR,,Fire,,TRUE,TRUE
687,468,TOGEKISS,,Fairy,Flying,TRUE,TRUE
688,469,YANMEGA,,Bug,Flying,TRUE,TRUE
689,470,LEAFEON,,Grass,,TRUE,TRUE
690,471,GLACEON,,Ice,,TRUE,TRUE
691,472,GLISCOR,,Ground,Flying,TRUE,TRUE
692,473,MAMOSWINE,FEMALE,Ice,Ground,TRUE,TRUE
693,473,MAMOSWINE,MALE,Ice,Ground,TRUE,TRUE
694,474,PORYGON-Z,,Normal,,TRUE,TRUE
695,475,GALLADE,,Psychic,Fighting,TRUE,TRUE
696,475,GALLADE,MEGA,Psychic,Fighting,TRUE,FALSE
697,476,PROBOPASS,,Rock,Steel,TRUE,TRUE
698,477,DUSKNOIR,,Ghost,,TRUE,TRUE
699,478,FROSLASS,,Ice,Ghost,TRUE,TRUE
700,479,ROTOM,,Electric,Ghost,TRUE,TRUE
701,479,ROTOM,HEAT,Electric,Fire,TRUE,TRUE
702,479,ROTOM,WASH,Electric,Water,TRUE,TRUE
703,479,ROTOM,FROST,Electric,Ice,TRUE,TRUE
704,479,ROTOM,FAN,Electric,Flying,TRUE,TRUE
705,479,ROTOM,MOW,Electric,Grass,TRUE,TRUE
706,480,UXIE,,Psychic,,TRUE,TRUE
707,481,MESPRIT,,Psychic,,TRUE,TRUE
708,482,AZELF,,Psychic,,TRUE,TRUE
709,483,DIALGA,,Steel,Dragon,TRUE,TRUE
710,484,PALKIA,,Water,Dragon,TRUE,TRUE
711,485,HEATRAN,,Fire,Steel,TRUE,TRUE
712,486,REGIGIGAS,,Normal,,TRUE,TRUE
713,487,GIRATINA,ALTERED,Ghost,Dragon,TRUE,TRUE
714,487,GIRATINA,ORIGIN,Ghost,Dragon,TRUE,FALSE
715,488,CRESSELIA,,Psychic,,TRUE,TRUE
716,489,PHIONE,,Water,,TRUE,TRUE
717,490,MANAPHY,,Water,,TRUE,TRUE
718,491,DARKRAI,,Dark,,TRUE,TRUE
719,492,SHAYMIN,LAND,Grass,,TRUE,TRUE
720,492,SHAYMIN,SKY,Grass,Flying,FALSE,FALSE
721,493,ARCEUS,NORMAL,Normal,,TRUE,TRUE
722,493,ARCEUS,FIRE,Fire,,TRUE,FALSE
723,493,ARCEUS,WATER,Water,,TRUE,FALSE
724,493,ARCEUS,ELECTRIC,Electric,,TRUE,FALSE
725,493,ARCEUS,GRASS,Grass,,TRUE,FALSE
726,493,ARCEUS,ICE,Ice,,TRUE,FALSE
727,493,ARCEUS,FIGHTING,Fighting,,TRUE,FALSE
728,493,ARCEUS,POISON,Poison,,TRUE,FALSE
729,493,ARCEUS,GROUND,Ground,,TRUE,FALSE
730,493,ARCEUS,FLYING,Flying,,TRUE,FALSE
731,493,ARCEUS,PSYCHIC,Psychic,,TRUE,FALSE
732,493,ARCEUS,BUG,Bug,,TRUE,FALSE
733,493,ARCEUS,ROCK,Rock,,TRUE,FALSE
734,493,ARCEUS,GHOST,Ghost,,TRUE,FALSE
735,493,ARCEUS,DRAGON,Dragon,,TRUE,FALSE
736,493,ARCEUS,DARK,Dark,,TRUE,FALSE
737,493,ARCEUS,STEEL,Steel,,TRUE,FALSE
738,493,ARCEUS,FAIRY,Fairy,,TRUE,FALSE
739,494,VICTINI,,Psychic,Fire,TRUE,TRUE
740,495,SNIVY,,Grass,,TRUE,TRUE
741,496,SERVINE,,Grass,,TRUE,TRUE
742,497,SERPERIOR,,Grass,,TRUE,TRUE
743,498,TEPIG,,Fire,,TRUE,TRUE
744,499,PIGNITE,,Fire,Fighting,TRUE,TRUE
745,500,EMBOAR,,Fire,Fighting,TRUE,TRUE
746,501,OSHAWOTT,,Water,,TRUE,TRUE
747,502,DEWOTT,,Water,,TRUE,TRUE
748,503,SAMUROTT,,Water,,TRUE,TRUE
749,504,PATRAT,,Normal,,TRUE,TRUE
750,505,WATCHOG,,Normal,,TRUE,TRUE
751,506,LILLIPUP,,Normal,,TRUE,TRUE
752,507,HERDIER,,Normal,,TRUE,TRUE
753,508,STOUTLAND,,Normal,,TRUE,TRUE
754,509,PURRLOIN,,Dark,,TRUE,TRUE
755,510,LIEPARD,,Dark,,TRUE,TRUE
756,511,PANSAGE,,Grass,,TRUE,TRUE
757,512,SIMISAGE,,Grass,,TRUE,TRUE
758,513,PANSEAR,,Fire,,TRUE,TRUE
759,514,SIMISEAR,,Fire,,TRUE,TRUE
760,515,PANPOUR,,Water,,TRUE,TRUE
761,516,SIMIPOUR,,Water,,TRUE,TRUE
762,517,MUNNA,,Psychic,,TRUE,TRUE
763,518,MUSHARNA,,Psychic,,TRUE,TRUE
764,519,PIDOVE,,Normal,Flying,TRUE,TRUE
765,520,TRANQUILL,,Normal,Flying,TRUE,TRUE
766,521,UNFEZANT,FEMALE,Normal,Flying,TRUE,TRUE
767,521,UNFEZANT,MALE,Normal,Flying,TRUE,TRUE
768,522,BLITZLE,,Electric,,TRUE,TRUE
769,523,ZEBSTRIKA,,Electric,,TRUE,TRUE
770,524,ROGGENROLA,,Rock,,TRUE,TRUE
771,525,BOLDORE,,Rock,,TRUE,TRUE
772,526,GIGALITH,,Rock,,TRUE,TRUE
773,527,WOOBAT,,Psychic,Flying,TRUE,TRUE
774,528,SWOOBAT,,Psychic,Flying,TRUE,TRUE
775,529,DRILBUR,,Ground,,TRUE,TRUE
776,530,EXCADRILL,,Ground,Steel,TRUE,TRUE
777,531,AUDINO,,Normal,,TRUE,TRUE
778,531,AUDINO,MEGA,Normal,Fairy,TRUE,FALSE
779,532,TIMBURR,,Fighting,,TRUE,TRUE
780,533,GURDURR,,Fighting,,TRUE,TRUE
781,534,CONKELDURR,,Fighting,,TRUE,TRUE
782,535,TYMPOLE,,Water,,TRUE,TRUE
783,536,PALPITOAD,,Water,Ground,TRUE,TRUE
784,537,SEISMITOAD,,Water,Ground,TRUE,TRUE
785,538,THROH,,Fighting,,TRUE,TRUE
786,539,SAWK,,Fighting,,TRUE,TRUE
787,540,SEWADDLE,,Bug,Grass,TRUE,TRUE
788,541,SWADLOON,,Bug,Grass,TRUE,TRUE
789,542,LEAVANNY,,Bug,Grass,TRUE,TRUE
790,543,VENIPEDE,,Bug,Poison,TRUE,TRUE
791,544,WHIRLIPEDE,,Bug,Poison,TRUE,TRUE
792,545,SCOLIPEDE,,Bug,Poison,TRUE,TRUE
793,546,COTTONEE,,Grass,,TRUE,TRUE
794,547,WHIMSICOTT,,Grass,Fairy,TRUE,TRUE
795,548,PETILIL,,Grass,,TRUE,TRUE
796,549,LILLIGANT,,Grass,,TRUE,TRUE
797,550,BASCULIN,RED-STRIPED,Water,,TRUE,TRUE
798,550,BASCULIN,BLUE-STRIPED,Water,,TRUE,TRUE
799,551,SANDILE,,Ground,Dark,TRUE,TRUE
800,552,KROKOROK,,Ground,Dark,TRUE,TRUE
801,553,KROOKODILE,,Ground,Dark,TRUE,TRUE
802,554,DARUMAKA,,Fire,,TRUE,TRUE
803,554,DARUMAKA,GALARIAN,Ice,,TRUE,TRUE
804,555,DARMANITAN,,Fire,,TRUE,TRUE
805,555,DARMANITAN,GALARIAN,Ice,,TRUE,TRUE
806,556,MARACTUS,,Grass,,TRUE,TRUE
807,557,DWEBBLE,,Bug,Rock,TRUE,TRUE
808,558,CRUSTLE,,Bug,Rock,TRUE,TRUE
809,559,SCRAGGY,,Dark,Fighting,TRUE,TRUE
810,560,SCRAFTY,,Dark,Fighting,TRUE,TRUE
811,561,SIGILYPH,,Psychic,Flying,TRUE,TRUE
812,562,YAMASK,,Ghost,,TRUE,TRUE
813,562,YAMASK,GALARIAN,Ground,Ghost,TRUE,TRUE
814,563,COFAGRIGUS,,Ghost,,TRUE,TRUE
815,564,TIRTOUGA,,Water,Rock,TRUE,TRUE
816,565,CARRACOSTA,,Water,Rock,TRUE,TRUE
817,566,ARCHEN,,Rock,Flying,TRUE,TRUE
818,567,ARCHEOPS,,Rock,Flying,TRUE,TRUE
819,568,TRUBBISH,,Poison,,TRUE,TRUE
820,569,GARBODOR,,Poison,,TRUE,TRUE
821,569,GARBODOR,GIGANTAMAX,Poison,,TRUE,TRUE
822,570,ZORUA,,Dark,,TRUE,TRUE
823,571,ZOROARK,,Dark,,TRUE,TRUE
824,572,MINCCINO,,Normal,,TRUE,TRUE
825,573,CINCCINO,,Normal,,TRUE,TRUE
826,574,GOTHITA,,Psychic,,TRUE,TRUE
827,575,GOTHORITA,,Psychic,,TRUE,TRUE
828,576,GOTHITELLE,,Psychic,,TRUE,TRUE
829,577,SOLOSIS,,Psychic,,TRUE,TRUE
830,578,DUOSION,,Psychic,,TRUE,TRUE
831,579,REUNICLUS,,Psychic,,TRUE,TRUE
832,580,DUCKLETT,,Water,Flying,TRUE,TRUE
833,581,SWANNA,,Water,Flying,TRUE,TRUE
834,582,VANILLITE,,Ice,,TRUE,TRUE
835,583,VANILLISH,,Ice,,TRUE,TRUE
836,584,VANILLUXE,,Ice,,TRUE,TRUE
837,585,DEERLING,SPRING,Normal,Grass,TRUE,TRUE
838,585,DEERLING,SUMMER,Normal,Grass,TRUE,TRUE
839,585,DEERLING,AUTUMN,Normal,Grass,TRUE,TRUE
840,585,DEERLING,WINTER,Normal,Grass,TRUE,TRUE
841,586,SAWSBUCK,SPRING,Normal,Grass,TRUE,TRUE
842,586,SAWSBUCK,SUMMER,Normal,Grass,TRUE,TRUE
843,586,SAWSBUCK,AUTUMN,Normal,Grass,TRUE,TRUE
844,586,SAWSBUCK,WINTER,Normal,Grass,TRUE,TRUE
845,587,EMOLGA,,Electric,Flying,TRUE,TRUE
846,588,KARRABLAST,,Bug,,TRUE,TRUE
847,589,ESCAVALIER,,Bug,Steel,TRUE,TRUE
848,590,FOONGUS,,Grass,Poison,TRUE,TRUE
849,591,AMOONGUSS,,Grass,Poison,TRUE,TRUE
850,592,FRILLISH,FEMALE,Water,Ghost,TRUE,TRUE
851,592,FRILLISH,MALE,Water,Ghost,TRUE,TRUE
852,593,JELLICENT,FEMALE,Water,Ghost,TRUE,TRUE
853,593,JELLICENT,MALE,Water,Ghost,TRUE,TRUE
854,594,ALOMOMOLA,,Water,,TRUE,TRUE
855,595,JOLTIK,,Bug,Electric,TRUE,TRUE
856,596,GALVANTULA,,Bug,Electric,TRUE,TRUE
857,597,FERROSEED,,Grass,Steel,TRUE,TRUE
858,598,FERROTHORN,,Grass,Steel,TRUE,TRUE
859,599,KLINK,,Steel,,TRUE,TRUE
860,600,KLANG,,Steel,,TRUE,TRUE
861,601,KLINKLANG,,Steel,,TRUE,TRUE
862,602,TYNAMO,,Electric,,TRUE,TRUE
863,603,EELEKTRIK,,Electric,,TRUE,TRUE
864,604,EELEKTROSS,,Electric,,TRUE,TRUE
865,605,ELGYEM,,Psychic,,TRUE,TRUE
866,606,BEHEEYEM,,Psychic,,TRUE,TRUE
867,607,LITWICK,,Ghost,Fire,TRUE,TRUE
868,608,LAMPENT,,Ghost,Fire,TRUE,TRUE
869,609,CHANDELURE,,Ghost,Fire,TRUE,TRUE
870,610,AXEW,,Dragon,,TRUE,TRUE
871,611,FRAXURE,,Dragon,,TRUE,TRUE
872,612,HAXORUS,,Dragon,,TRUE,TRUE
873,613,CUBCHOO,,Ice,,TRUE,TRUE
874,614,BEARTIC,,Ice,,TRUE,TRUE
875,615,CRYOGONAL,,Ice,,TRUE,TRUE
876,616,SHELMET,,Bug,,TRUE,TRUE
877,617,ACCELGOR,,Bug,,TRUE,TRUE
878,618,STUNFISK,,Ground,Electric,TRUE,TRUE
879,618,STUNFISK,GALARIAN,Ground,Steel,TRUE,TRUE
880,619,MIENFOO,,Fighting,,TRUE,TRUE
881,620,MIENSHAO,,Fighting,,TRUE,TRUE
882,621,DRUDDIGON,,Dragon,,TRUE,TRUE
883,622,GOLETT,,Ground,Ghost,TRUE,TRUE
884,623,GOLURK,,Ground,Ghost,TRUE,TRUE
885,624,PAWNIARD,,Dark,Steel,TRUE,TRUE
886,625,BISHARP,,Dark,Steel,TRUE,TRUE
887,626,BOUFFALANT,,Normal,,TRUE,TRUE
888,627,RUFFLET,,Normal,Flying,TRUE,TRUE
889,628,BRAVIARY,,Normal,Flying,TRUE,TRUE
890,629,VULLABY,,Dark,Flying,TRUE,TRUE
891,630,MANDIBUZZ,,Dark,Flying,TRUE,TRUE
892,631,HEATMOR,,Fire,,TRUE,TRUE
893,632,DURANT,,Bug,Steel,TRUE,TRUE
894,633,DEINO,,Dark,Dragon,TRUE,TRUE
895,634,ZWEILOUS,,Dark,Dragon,TRUE,TRUE
896,635,HYDREIGON,,Dark,Dragon,TRUE,TRUE
897,636,LARVESTA,,Bug,Fire,TRUE,TRUE
898,637,VOLCARONA,,Bug,Fire,TRUE,TRUE
899,638,COBALION,,Steel,Fighting,TRUE,TRUE
900,639,TERRAKION,,Rock,Fighting,TRUE,TRUE
901,640,VIRIZION,,Grass,Fighting,TRUE,TRUE
902,641,TORNADUS,INCARNATE,Flying,,TRUE,TRUE
903,641,TORNADUS,THERIAN,Flying,,TRUE,TRUE
904,642,THUNDURUS,INCARNATE,Electric,Flying,TRUE,TRUE
905,642,THUNDURUS,THERIAN,Electric,Flying,TRUE,TRUE
906,643,RESHIRAM,,Dragon,Fire,TRUE,TRUE
907,644,ZEKROM,,Dragon,Electric,TRUE,TRUE
908,645,LANDORUS,INCARNATE,Ground,Flying,TRUE,TRUE
909,645,LANDORUS,THERIAN,Ground,Flying,TRUE,TRUE
910,646,KYUREM,,Dragon,Ice,TRUE,TRUE
